dtime,value
1775159765.209558,-1.3726283125579357
1775160110.487587,-1.3834066651761532
1775160714.093744,-1.343546736985445
1775160720.470592,-1.3224707543849945
1775160726.6936839,-1.3691740073263645
1775160733.3187761,-1.3712296970188618
1775160739.731872,-1.315332766622305
1775160745.756816,-1.2478483244776726
1775160751.93138,-1.248457245528698
1775160758.084747,-1.1382758170366287
1775160764.16525,-1.0849935598671436
1775160783.582151,-1.0429869294166565
1775160789.898517,-1.008519072085619
1775160796.2054029,-1.017961436882615
1775160802.625518,-0.9600873496383429
1775160808.941756,-0.8837665021419525
1775160814.987187,-0.9367231242358685
1775160820.749988,-0.868957556784153
1775160826.9860969,-0.8572419211268425
1775160833.474719,-0.872128713876009
1775160839.77682,-0.7229609210044146
1775160862.370699,-0.7791889254003763
1775160868.769849,-0.79299489967525
1775160874.954089,-0.7567329593002796
1775160881.245693,-0.8241907898336649
1775160887.423994,-0.814286720007658
1775160893.4870012,-0.8517969138920307
1775160899.697946,-0.8733706455677748
1775160905.503176,-0.8184863571077585
1775160911.780531,-0.7303883135318756
1775160917.95552,-0.8365770094096661
1775160945.43616,-0.8315317761152983
1775160952.060273,-0.7313187457621098
1775160958.4156108,-0.778793828561902
1775160964.93983,-0.7072853520512581
1775160971.178804,-0.8939512129873037
1775160977.124137,-0.7693027257919312
1775160983.0639281,-0.7966026104986668
1775160989.123444,-0.7777024414390326
1775160994.968504,-0.711520180106163
1775161001.2167869,-0.8095371872186661
1775161031.621953,-0.7881589997559786
1775161037.887121,-0.731164064258337
1775161043.80185,-0.7748073674738407
1775161049.624255,-0.8431468699127436
1775161056.364202,-0.7762841731309891
1775161062.747221,-0.779149129986763
1775161068.8307898,-0.7604626957327127
1775161075.068424,-0.8009564206004143
1775161080.988961,-0.6956726536154747
1775161087.137224,-0.7053996548056602
1775161866.363261,-1.3815248385071754
1775161873.035331,-1.3653117716312408
1775161879.476518,-1.355056542903185
1775161885.670768,-1.3216167986392975
1775161892.1583092,-1.353140290826559
1775161898.088126,-1.3153839707374573
1775161904.212537,-1.2576967552304268
1775161910.6420531,-1.1358014792203903
1775161916.967187,-1.1710950806736946
1775161933.118048,-1.1388660036027431
1775161939.308831,-1.0349638909101486
1775161945.7782779,-0.9939365088939667
1775161952.379501,-0.9798530824482441
1775161958.630549,-0.9503458458930254
1775161964.928392,-1.0445483662188053
1775161970.8711538,-0.980147672817111
1775161977.1795871,-0.936106925830245
1775161983.4031749,-0.9107275828719139
1775161989.7300348,-0.9545814245939255
1775162004.539048,-0.9217619188129902
1775162011.072295,-0.9026161767542362
1775162017.3202372,-0.891298932954669
1775162023.348423,-0.951548021286726
1775162029.346772,-0.8191526550799608
1775162035.520406,-0.8529761005192995
1775162041.575116,-0.9571827687323093
1775162047.343022,-0.8262890223413706
1775162053.5246952,-0.8415472488850355
1775162059.93853,-0.9640626180917025
1775162076.3617349,-0.9427979029715061
1775162082.397485,-0.9319242909550667
1775162088.1343958,-0.8940939363092184
1775162094.269821,-0.9013768341392279
1775162100.9779892,-0.9060323555022478
1775162257.407041,-1.379164308309555
1775162263.8252711,-1.3558625280857086
1775162270.204382,-1.3486505597829819
1775162276.6536052,-1.2985386736690998
1775162283.146921,-1.361180119216442
1775162289.19803,-1.3491060324013233
1775162295.582379,-1.297766849398613
1775162301.879045,-1.2743590138852596
1775162308.5241978,-1.213876437395811
1775162323.8053591,-1.1604079864919186
1775162329.8138912,-1.1343257129192352
1775162336.01997,-1.185902912169695
1775162342.4205172,-1.1128741018474102
1775162348.4886038,-1.0936371609568596
1775162355.028821,-1.0807517878711224
1775162360.73402,-1.0791477710008621
1775162366.766866,-1.124267641454935
1775162372.826317,-1.0284623857587576
1775162378.87384,-1.1149451397359371
1775162393.985284,-1.0504928268492222
1775162400.576448,-1.0397274978458881
1775162406.351948,-1.0404915064573288
1775162412.721185,-1.0477510131895542
