dtime,value
1775160783.583738,../breakout_logs/ppo/videos/replay_1775160782
1775160862.37126,../breakout_logs/ppo/videos/replay_1775160861
1775160945.436661,../breakout_logs/ppo/videos/replay_1775160944
1775161031.623255,../breakout_logs/ppo/videos/replay_1775161030
1775161257.620075,../breakout_logs/ppo/videos/replay_1775161256
1775161266.033231,../breakout_logs/ppo/videos/replay_1775161265
1775161274.8870451,../breakout_logs/ppo/videos/replay_1775161273
1775161283.26547,../breakout_logs/ppo/videos/replay_1775161282
1775161337.614879,../breakout_logs/ppo/videos/replay_1775161336
1775161345.467296,../breakout_logs/ppo/videos/replay_1775161344
1775161933.119016,breakout_logs/ppo/videos/replay_1775161931
1775162004.539642,breakout_logs/ppo/videos/replay_1775162003
1775162076.362207,breakout_logs/ppo/videos/replay_1775162075
1775162323.806271,breakout_logs/ppo/videos/replay_1775162322
1775162393.985893,breakout_logs/ppo/videos/replay_1775162393
1775162607.295962,breakout_logs/ppo/videos/replay_1775162606
1775162679.5347898,breakout_logs/ppo/videos/replay_1775162678
1775162765.306253,breakout_logs/ppo/videos/replay_1775162762
1775163835.0062919,breakout_logs/ppo/videos/replay_1775163834
1775163955.418643,breakout_logs/ppo/videos/replay_1775163954.mp4
1775163962.83735,breakout_logs/ppo/videos/replay_1775163962.mp4
1775163970.326418,breakout_logs/ppo/videos/replay_1775163969.mp4
1775164232.516695,breakout_logs/ppo/videos/replay_1775164231.mp4
1775164361.589716,breakout_logs/ppo/videos/replay_1775164360.mp4
1775164488.2871318,breakout_logs/ppo/videos/replay_1775164487.mp4
1775164612.613248,breakout_logs/ppo/videos/replay_1775164611.mp4
1775164738.608598,breakout_logs/ppo/videos/replay_1775164737.mp4
1775164862.686319,breakout_logs/ppo/videos/replay_1775164861.mp4
1775164985.509674,breakout_logs/ppo/videos/replay_1775164984.mp4
1775165108.5380192,breakout_logs/ppo/videos/replay_1775165107.mp4
1775165229.0947661,breakout_logs/ppo/videos/replay_1775165228.mp4
1775165347.9534469,breakout_logs/ppo/videos/replay_1775165347.mp4
1775165469.094774,breakout_logs/ppo/videos/replay_1775165468.mp4
1775165591.245783,breakout_logs/ppo/videos/replay_1775165590.mp4
1775165713.759742,breakout_logs/ppo/videos/replay_1775165712.mp4
1775165835.233952,breakout_logs/ppo/videos/replay_1775165834.mp4
1775165957.101599,breakout_logs/ppo/videos/replay_1775165956.mp4
1775166079.15621,breakout_logs/ppo/videos/replay_1775166078.mp4
1775166200.8119738,breakout_logs/ppo/videos/replay_1775166199.mp4
1775166324.5811899,breakout_logs/ppo/videos/replay_1775166323.mp4
1775166448.271492,breakout_logs/ppo/videos/replay_1775166447.mp4
1775166572.751086,breakout_logs/ppo/videos/replay_1775166571.mp4
