dtime,value
1775159765.209978,0.0025993846356868744
1775160110.4883342,0.0064691659063100815
1775160714.094578,0.0024314802139997482
1775160720.4708369,-0.0005987891927361488
1775160726.6939259,-0.006811503320932388
1775160733.318976,-0.005733488127589226
1775160739.732099,-0.014682484790682793
1775160745.757012,-0.01508416049182415
1775160751.931947,-0.009093102067708969
1775160758.084987,-0.018221154808998108
1775160764.165449,-0.009143155068159103
1775160783.5830112,-0.016016725450754166
1775160789.898762,-0.0201970636844635
1775160796.205646,-0.023674583062529564
1775160802.625747,-0.028017882257699966
1775160808.941992,-0.027550101280212402
1775160814.987432,-0.013604927808046341
1775160820.750227,-0.020832248032093048
1775160826.986332,-0.011401090770959854
1775160833.47497,-0.015160541981458664
1775160839.777041,-0.02531977742910385
1775160862.370996,-0.01803428679704666
1775160868.77009,-0.019971515983343124
1775160874.954323,-0.014258716255426407
1775160881.2459378,-0.02322920598089695
1775160887.4242408,-0.023502644151449203
1775160893.487211,-0.028215624392032623
1775160899.6981819,-0.022041797637939453
1775160905.503377,-0.027378972619771957
1775160911.780788,-0.01644139178097248
1775160917.9557388,-0.014618072658777237
1775160945.436417,-0.023764055222272873
1775160952.060512,-0.024611562490463257
1775160958.416011,-0.020110592246055603
1775160964.940041,-0.020337875932455063
1775160971.1790369,-0.02762686274945736
1775160977.124375,-0.029977869242429733
1775160983.064115,-0.026175634935498238
1775160989.1237261,-0.014567745849490166
1775160994.968717,-0.02958323433995247
1775161001.2170272,-0.024065282195806503
1775161031.622247,-0.023565616458654404
1775161037.88736,-0.021873576566576958
1775161043.8020558,-0.01921091601252556
1775161049.624546,-0.03002931922674179
1775161056.364425,-0.025566741824150085
1775161062.7475579,-0.02548254281282425
1775161068.8310301,-0.02491787075996399
1775161075.068616,-0.027714215219020844
1775161080.989221,-0.027439413592219353
1775161087.1374452,-0.029573515057563782
1775161866.3646789,0.014413924887776375
1775161873.036038,-0.010619422420859337
1775161879.476799,-0.007839757017791271
1775161885.67101,-0.011886516585946083
1775161892.158499,-0.016087183728814125
1775161898.088366,-0.014474598690867424
1775161904.21276,-0.010241851210594177
1775161910.642293,-0.03163577616214752
1775161916.967442,-0.015382697805762291
1775161933.118303,-0.006991356611251831
1775161939.309071,-0.015009641647338867
1775161945.778504,-0.014289543963968754
1775161952.379711,-0.016164351254701614
1775161958.63078,-0.016563737764954567
1775161964.9286022,-0.008228909224271774
1775161970.8713868,-0.022517159581184387
1775161977.179827,-0.013494377955794334
1775161983.4033659,-0.023332957178354263
1775161989.7302752,-0.02479231357574463
1775162004.5393212,-0.026895426213741302
1775162011.072594,-0.033708516508340836
1775162017.3204842,-0.029465217143297195
1775162023.348638,-0.01631801202893257
1775162029.346999,-0.01682119444012642
1775162035.52061,-0.030846454203128815
1775162041.5753422,-0.020500849932432175
1775162047.343263,-0.0222991444170475
1775162053.5249019,-0.01547467801719904
1775162059.9387891,-0.03893335908651352
1775162076.3619661,-0.01622980460524559
1775162082.397737,-0.03879329189658165
1775162088.134654,-0.029155977070331573
1775162094.2700422,-0.021798402070999146
1775162100.978231,-0.027315739542245865
1775162257.407885,-0.0032527120783925056
1775162263.825491,0.004492557607591152
1775162270.204614,-0.004459382966160774
1775162276.6538088,-0.008283887058496475
1775162283.147156,-0.012009456753730774
1775162289.1982698,-0.015628594905138016
1775162295.5831501,-0.014269455336034298
1775162301.879303,-0.025724219158291817
1775162308.524807,-0.015540502965450287
1775162323.80572,-0.028568658977746964
1775162329.8141189,-0.01990925334393978
1775162336.0201778,-0.01005420833826065
1775162342.4207628,-0.02414497546851635
1775162348.488854,-0.018967576324939728
1775162355.029066,-0.019893798977136612
1775162360.7342741,-0.02886737696826458
1775162366.767086,-0.02605699561536312
1775162372.826615,-0.03099730610847473
1775162378.874125,-0.03543536365032196
1775162393.985597,-0.031402092427015305
1775162400.5767071,-0.03613928705453873
1775162406.3522089,-0.03211190551519394
1775162412.721382,-0.022576140239834785
1775162542.091373,0.009994067251682281
1775162548.612642,0.0072122663259506226
1775162555.058945,-0.017297297716140747
1775162561.629913,-0.0058042630553245544
1775162568.102944,-0.01810663938522339
1775162573.9908469,-0.0019688550382852554
1775162580.163338,-0.02192169427871704
1775162586.316235,-0.022331228479743004
1775162592.461569,-0.013569731265306473
1775162607.2954319,-0.011178512126207352
1775162613.774935,-0.023449808359146118
1775162620.25698,-0.008459694683551788
1775162627.040904,-0.0057521723210811615
1775162633.606585,-0.012825913727283478
1775162639.6345909,-0.010387968271970749
1775162645.388046,-0.01280193030834198
1775162651.559329,-0.016156397759914398
1775162657.8543282,0.002131722867488861
1775162664.4303439,-0.004898132756352425
1775162679.5344691,-0.005488760769367218
1775162698.8314738,0.01315964013338089
1775162705.1029959,0.0018016519024968147
1775162711.2652721,-0.001596858724951744
1775162717.50125,-0.010795638896524906
1775162723.928454,-0.02422824688255787
1775162729.756493,-0.002258356660604477
1775162735.8641338,-0.0038779471069574356
1775162741.959258,-0.016165748238563538
1775162748.056416,-0.019275378435850143
1775162765.305641,-0.012996319681406021
1775162771.697621,-0.01444959081709385
1775162777.9692328,-0.02487286739051342
1775162784.5515058,-0.009669162333011627
1775163802.133564,-0.003737015649676323
1775163802.831001,-0.0009225979447364807
1775163803.500586,0.011369447223842144
1775163835.005911,0.003943178802728653
1775163955.417902,0.007125553674995899
1775163962.837203,0.001196581870317459
1775163970.326242,-0.006977489218115807
