dtime,value
1775159765.210191,0.1
1775160110.488687,0.1
1775160714.094982,0.1
1775160720.47095,0.1
1775160726.6940491,0.1
1775160733.319092,0.1
1775160739.732239,0.1
1775160745.757123,0.1
1775160751.9322681,0.1
1775160758.085096,0.1
1775160764.1655512,0.1
1775160783.5833862,0.1
1775160789.898896,0.1
1775160796.205772,0.1
1775160802.625887,0.1
1775160808.942119,0.1
1775160814.987561,0.1
1775160820.750355,0.1
1775160826.986468,0.1
1775160833.475103,0.1
1775160839.777164,0.1
1775160862.371129,0.1
1775160868.770221,0.1
1775160874.9544609,0.1
1775160881.246073,0.1
1775160887.424374,0.1
1775160893.4873312,0.1
1775160899.698315,0.1
1775160905.5034938,0.1
1775160911.780919,0.1
1775160917.9558542,0.1
1775160945.436546,0.1
1775160952.060655,0.1
1775160958.4161558,0.1
1775160964.940156,0.1
1775160971.1791732,0.1
1775160977.124514,0.1
1775160983.064221,0.1
1775160989.12387,0.1
1775160994.968837,0.1
1775161001.217164,0.1
1775161031.62239,0.1
1775161037.8874948,0.1
1775161043.802156,0.1
1775161049.6246881,0.1
1775161056.364532,0.1
1775161062.7477078,0.1
1775161068.8311648,0.1
1775161075.068723,0.1
1775161080.989346,0.1
1775161087.137568,0.1
1775161866.3649979,0.1
1775161873.036326,0.1
1775161879.476944,0.1
1775161885.671155,0.1
1775161892.158608,0.1
1775161898.0885062,0.1
1775161904.2128792,0.1
1775161910.642425,0.1
1775161916.967579,0.1
1775161933.118437,0.1
1775161939.309209,0.1
1775161945.7786272,0.1
1775161952.3798342,0.1
1775161958.63092,0.1
1775161964.9287229,0.1
1775161970.871517,0.1
1775161977.17996,0.1
1775161983.403488,0.1
1775161989.7303932,0.1
1775162004.539475,0.1
1775162011.072762,0.1
1775162017.3206122,0.1
1775162023.348754,0.1
1775162029.347127,0.1
1775162035.520725,0.1
1775162041.57547,0.1
1775162047.343403,0.1
1775162053.525019,0.1
1775162059.9389381,0.1
1775162076.3620741,0.1
1775162082.397876,0.1
1775162088.134777,0.1
1775162094.270154,0.1
1775162100.9783711,0.1
1775162257.408242,0.1
1775162263.8256168,0.1
1775162270.2047591,0.1
1775162276.6539168,0.1
1775162283.147308,0.1
1775162289.198396,0.1
1775162295.583492,0.1
1775162301.879435,0.1
1775162308.525125,0.1
1775162323.8058639,0.1
1775162329.814246,0.1
1775162336.020302,0.1
1775162342.4208908,0.1
1775162348.4889941,0.1
1775162355.0291939,0.1
1775162360.734415,0.1
1775162366.767191,0.1
1775162372.826772,0.1
1775162378.874251,0.1
1775162393.985754,0.1
1775162400.57686,0.1
1775162406.352343,0.1
1775162412.7215161,0.1
1775162542.091821,0.1
1775162548.61279,0.1
1775162555.059078,0.1
1775162561.630056,0.1
1775162568.103085,0.1
1775162573.9909902,0.1
1775162580.163478,0.1
1775162586.316374,0.1
1775162592.4617128,0.1
1775162607.295711,0.1
1775162613.775404,0.1
1775162620.2571032,0.1
1775162627.041049,0.1
1775162633.606729,0.1
1775162639.634741,0.1
1775162645.3881788,0.1
1775162651.559469,0.1
1775162657.8544729,0.1
1775162664.430472,0.1
1775162679.534633,0.1
1775162698.831618,0.1
1775162705.103151,0.1
1775162711.265407,0.1
1775162717.501399,0.1
1775162723.928573,0.1
1775162729.756629,0.1
1775162735.864265,0.1
1775162741.959408,0.1
1775162748.056552,0.1
1775162765.3057878,0.1
1775162771.6977532,0.1
1775162777.969378,0.1
1775162784.5516212,0.1
1775163802.133997,0.1
1775163802.831118,0.1
1775163803.5007071,0.1
1775163835.0062232,0.1
1775163955.418486,0.1
1775163962.837316,0.1
1775163970.326377,0.1
