dtime,value
1775159765.209823,0.0019659295
1775160110.4880462,0.0029496497
1775160714.094329,0.0037788243
1775160720.470756,0.0031040576
1775160726.693839,0.0022473899
1775160733.318906,0.0020788698
1775160739.732018,0.0030357996
1775160745.756941,0.002804912
1775160751.9317272,0.0025643476
1775160758.0849018,0.0034098907
1775160764.165379,0.0033198143
1775160783.5827599,0.0034678965
1775160789.8986702,0.004143836
1775160796.205565,0.0031442186
1775160802.625671,0.004963263
1775160808.941907,0.0048384434
1775160814.9873421,0.005578108
1775160820.7501419,0.0052392604
1775160826.9862468,0.0052740145
1775160833.474875,0.0051067816
1775160839.7769668,0.00552567
1775160862.3708968,0.004983635
1775160868.770008,0.0059405654
1775160874.954237,0.0052602123
1775160881.245845,0.004273556
1775160887.424157,0.0055534537
1775160893.487136,0.005822146
1775160899.698093,0.0046504615
1775160905.503309,0.006822097
1775160911.780705,0.006328312
1775160917.955664,0.0070293145
1775160945.436336,0.0065433313
1775160952.060423,0.007427088
1775160958.415903,0.0062586786
1775160964.939958,0.011229452
1775160971.178954,0.008613016
1775160977.1242912,0.0079263905
1775160983.064053,0.007150664
1775160989.123636,0.008082889
1775160994.9686348,0.008802107
1775161001.216938,0.007814508
1775161031.6221519,0.008896019
1775161037.887272,0.009765178
1775161043.801989,0.008383395
1775161049.6244411,0.0077836066
1775161056.3643498,0.007283051
1775161062.747448,0.0097223455
1775161068.830946,0.008575706
1775161075.068552,0.00926475
1775161080.989135,0.009032613
1775161087.137368,0.010600099
1775161866.364437,0.0014190485
1775161873.035776,0.0023501883
1775161879.476696,0.002085378
1775161885.670922,0.0028105234
1775161892.158436,0.0024050386
1775161898.0882719,0.002322697
1775161904.212686,0.0029123113
1775161910.6422038,0.0028812704
1775161916.967356,0.0032426254
1775161933.118218,0.0038982388
1775161939.3089752,0.003277863
1775161945.7784169,0.0039056197
1775161952.379649,0.004988829
1775161958.630692,0.0036813999
1775161964.9285262,0.0032415183
1775161970.8713012,0.005363456
1775161977.179738,0.005963127
1775161983.403299,0.0062728506
1775161989.730193,0.005342956
1775162004.539228,0.0046914583
1775162011.072474,0.0056313397
1775162017.320402,0.004026847
1775162023.348563,0.0056899646
1775162029.3469172,0.0062653795
1775162035.5205429,0.0045598326
1775162041.575263,0.0051145973
1775162047.343176,0.0060818475
1775162053.524822,0.0070221936
1775162059.938703,0.0060224426
1775162076.361892,0.0038446314
1775162082.3976471,0.005823554
1775162088.134572,0.0054418785
1775162094.26997,0.0061617675
1775162100.978143,0.006247707
1775162257.407582,0.0026822411
1775162263.825408,0.0019347757
1775162270.2045262,0.0017547634
1775162276.653739,0.0017627403
1775162283.147072,0.002485766
1775162289.198187,0.0023435575
1775162295.582857,0.0042699985
1775162301.87921,0.0028506853
1775162308.524588,0.0025319098
1775162323.8056052,0.002917233
1775162329.814037,0.003597658
1775162336.0201018,0.0038710667
1775162342.420676,0.0041232295
1775162348.488767,0.00361747
1775162355.0289931,0.00357334
1775162360.734188,0.004777665
1775162366.7670121,0.0038896499
1775162372.8265102,0.004921674
1775162378.874031,0.0046943896
1775162393.985499,0.0037488362
1775162400.5766232,0.004576684
1775162406.3521159,0.004522155
1775162412.721316,0.0043556737
1775162542.091136,0.0023416616
1775162548.612556,0.0012098846
1775162555.058867,0.0018480184
1775162561.629827,0.002579683
1775162568.10286,0.0021581668
1775162573.990759,0.001910639
1775162580.1632488,0.0022601695
1775162586.316142,0.0020058763
1775162592.4614851,0.0023031353
1775162607.295226,0.0025253536
1775162613.774676,0.0021629226
1775162620.256869,0.0045129564
1775162627.040818,0.0030947395
1775162633.6064901,0.003985125
1775162639.634497,0.0055270977
1775162645.387964,0.004388918
1775162651.5592299,0.0033427172
1775162657.854228,0.004403052
1775162664.4302678,0.005091773
1775162679.5343711,0.0041998243
1775162698.831323,0.001070318
1775162705.1029,0.0032490538
1775162711.265177,0.003963501
1775162717.501152,0.0024493057
1775162723.92838,0.0020806966
1775162729.756407,0.0022165347
1775162735.864049,0.0021980586
1775162741.959162,0.0032914705
1775162748.0563278,0.0027657067
1775162765.305536,0.003495591
1775162771.697524,0.001993958
1775162777.96914,0.0050047715
1775162784.551423,0.0047551286
1775163802.133277,0.002341796
1775163802.830915,0.0024986616
1775163803.5004978,0.0016415885
1775163835.005595,0.0026934454
1775163955.417407,0.0011416434
1775163962.8371232,0.0027265006
1775163970.3261492,0.002714415
