dtime,value
1775159765.209194,0.00025
1775160110.486588,0.00025
1775160714.0925598,0.00025
1775160720.470361,0.00025
1775160726.6934688,0.00025
1775160733.318538,0.00025
1775160739.7316601,0.00025
1775160745.756614,0.00025
1775160751.9308999,0.00025
1775160758.0845618,0.00025
1775160764.165059,0.00025
1775160783.5811782,0.00025
1775160789.898303,0.00025
1775160796.205174,0.00025
1775160802.625321,0.00025
1775160808.941525,0.00025
1775160814.986954,0.00025
1775160820.749769,0.00025
1775160826.985873,0.00025
1775160833.474499,0.00025
1775160839.776608,0.00025
1775160862.370441,0.00025
1775160868.769624,0.00025
1775160874.9538848,0.00025
1775160881.245455,0.00025
1775160887.423774,0.00025
1775160893.4867961,0.00025
1775160899.697744,0.00025
1775160905.50298,0.00025
1775160911.780315,0.00025
1775160917.9553201,0.00025
1775160945.435915,0.00025
1775160952.060056,0.00025
1775160958.415376,0.00025
1775160964.939626,0.00025
1775160971.178582,0.00025
1775160977.123913,0.00025
1775160983.06374,0.00025
1775160989.1231658,0.00025
1775160994.968278,0.00025
1775161001.216558,0.00025
1775161031.621504,0.00025
1775161037.88692,0.00025
1775161043.8016331,0.00025
1775161049.6239302,0.00025
1775161056.364016,0.00025
1775161062.746968,0.00025
1775161068.830549,0.00025
1775161075.068209,0.00025
1775161080.988737,0.00025
1775161087.137005,0.00025
1775161866.362199,0.00025
1775161873.034983,0.00025
1775161879.476285,0.00025
1775161885.6705549,0.00025
1775161892.158114,0.00025
1775161898.087917,0.00025
1775161904.212333,0.00025
1775161910.6418319,0.00025
1775161916.966967,0.00025
1775161933.1178188,0.00025
1775161939.308612,0.00025
1775161945.778075,0.00025
1775161952.379315,0.00025
1775161958.630341,0.00025
1775161964.928192,0.00025
1775161970.870948,0.00025
1775161977.1793659,0.00025
1775161983.402962,0.00025
1775161989.7297878,0.00025
1775162004.5387928,0.00025
1775162011.072064,0.00025
1775162017.3200169,0.00025
1775162023.348209,0.00025
1775162029.346576,0.00025
1775162035.520192,0.00025
1775162041.574921,0.00025
1775162047.3428018,0.00025
1775162053.5244842,0.00025
1775162059.938289,0.00025
1775162076.361514,0.00025
1775162082.397266,0.00025
1775162088.134159,0.00025
1775162094.269624,0.00025
1775162100.977771,0.00025
1775162257.406126,0.00025
1775162263.825067,0.00025
1775162270.2041779,0.00025
1775162276.653378,0.00025
1775162283.146719,0.00025
1775162289.1978052,0.00025
1775162295.581442,0.00025
1775162301.878815,0.00025
1775162308.5236669,0.00025
1775162323.805082,0.00025
1775162329.813696,0.00025
1775162336.0197551,0.00025
1775162342.420322,0.00025
1775162348.488384,0.00025
1775162355.0286222,0.00025
1775162360.733792,0.00025
1775162366.7666728,0.00025
1775162372.8260689,0.00025
1775162378.873635,0.00025
1775162393.985055,0.00025
1775162400.576239,0.00025
1775162406.351774,0.00025
1775162412.721,0.00025
1775162542.08961,0.00025
1775162548.612164,0.00025
1775162555.0585039,0.00025
1775162561.629453,0.00025
1775162568.10252,0.00025
1775162573.990371,0.00025
1775162580.162875,0.00025
1775162586.3158169,0.00025
1775162592.4611049,0.00025
1775162607.2943811,0.00025
1775162613.7738729,0.00025
1775162620.256536,0.00025
1775162627.0404842,0.00025
1775162633.606102,0.00025
1775162639.6341171,0.00025
1775162645.387604,0.00025
1775162651.5588381,0.00025
1775162657.853842,0.00025
1775162664.429905,0.00025
1775162679.5338821,0.00025
1775162698.830903,0.00025
1775162705.102516,0.00025
1775162711.264778,0.00025
1775162717.500763,0.00025
1775162723.928055,0.00025
1775162729.756048,0.00025
1775162735.863703,0.00025
1775162741.958793,0.00025
1775162748.055925,0.00025
1775162765.305074,0.00025
1775162771.6971352,0.00025
1775162777.968791,0.00025
1775162784.551106,0.00025
1775163802.131834,0.00025
1775163802.830545,0.00025
1775163803.500156,0.00025
1775163835.004746,0.00025
1775163955.416041,0.00025
1775163962.836857,0.00025
1775163970.325856,0.00025
